iter	Passed	Remaining
0	135	135139
1	137	68402
2	138	46113
3	140	34878
4	141	28139
5	142	23645
6	144	20447
7	145	18049
8	146	16172
9	148	14669
10	149	13444
11	150	12421
12	152	11554
13	153	10814
14	154	10171
15	156	9610
16	157	9112
17	158	8670
18	160	8275
19	161	7919
20	162	7596
21	164	7302
22	165	7034
23	166	6787
24	168	6561
25	169	6352
26	170	6160
27	172	5981
28	173	5815
29	175	5661
30	175	5497
31	176	5343
32	177	5200
33	178	5064
34	179	4937
35	179	4816
36	180	4703
37	181	4594
38	182	4491
39	183	4392
40	183	4299
41	184	4211
42	185	4126
43	186	4045
44	186	3968
45	187	3894
46	188	3823
47	189	3756
48	190	3691
49	191	3629
50	191	3569
51	192	3511
52	193	3455
53	194	3401
54	194	3349
55	195	3301
56	196	3253
57	197	3207
58	198	3169
59	199	3126
60	200	3084
61	201	3043
62	201	3003
63	202	2965
64	203	2928
65	204	2891
66	205	2856
67	205	2816
68	206	2783
69	207	2750
70	207	2718
71	208	2688
72	209	2658
73	210	2629
74	210	2600
75	211	2575
76	212	2550
77	213	2525
78	214	2499
79	215	2474
80	215	2450
81	216	2426
82	217	2403
83	218	2380
84	218	2355
85	219	2333
86	220	2310
87	220	2289
88	221	2269
89	222	2249
90	223	2230
91	224	2211
92	224	2192
93	225	2175
94	226	2157
95	227	2140
96	228	2122
97	228	2105
98	229	2089
99	230	2073
100	231	2057
101	231	2038
102	232	2023
103	233	2008
104	233	1993
105	234	1978
106	235	1964
107	236	1950
108	236	1936
109	237	1922
110	238	1909
111	239	1896
112	240	1883
113	240	1871
114	241	1858
115	242	1845
116	242	1833
117	243	1821
118	244	1808
119	245	1796
120	245	1785
121	246	1774
122	246	1761
123	247	1750
124	248	1739
125	249	1729
126	250	1718
127	250	1706
128	251	1696
129	252	1687
130	252	1677
131	253	1668
132	254	1658
133	255	1649
134	256	1640
135	256	1631
136	257	1623
137	258	1613
138	259	1604
139	259	1595
140	260	1587
141	261	1579
142	262	1570
143	262	1562
144	263	1554
145	264	1546
146	265	1538
147	265	1531
148	266	1523
149	267	1515
150	268	1511
151	269	1504
152	270	1496
153	271	1489
154	271	1482
155	272	1475
156	273	1468
157	274	1462
158	275	1455
159	276	1449
160	276	1442
161	277	1436
162	278	1429
163	279	1423
164	279	1416
165	280	1410
166	281	1404
167	282	1399
168	283	1393
169	284	1387
